DateTime,SNvalue
1960-01-01,207.2
1960-02-01,149.9
1960-03-01,144.6
1960-04-01,172.7
1960-05-01,169.3
1960-06-01,156.0
1960-07-01,172.4
1960-08-01,190.0
1960-09-01,180.1
1960-10-01,117.3
1960-11-01,126.9
1960-12-01,121.2
1961-01-01,82.1
1961-02-01,65.4
1961-03-01,75.2
1961-04-01,86.9
1961-05-01,72.3
1961-06-01,109.5
1961-07-01,99.3
1961-08-01,79.2
1961-09-01,90.1
1961-10-01,53.7
1961-11-01,46.5
1961-12-01,56.9
1962-01-01,55.1
1962-02-01,71.7
1962-03-01,64.9
1962-04-01,65.9
1962-05-01,61.9
1962-06-01,59.6
1962-07-01,31.4
1962-08-01,31.5
1962-09-01,72.7
1962-10-01,56.1
1962-11-01,38.8
1962-12-01,33.2
1963-01-01,28.7
1963-02-01,35.2
1963-03-01,24.8
1963-04-01,41.7
1963-05-01,61.1
1963-06-01,51.2
1963-07-01,28.7
1963-08-01,47.5
1963-09-01,55.2
1963-10-01,50.1
1963-11-01,33.7
1963-12-01,21.6
1964-01-01,22.6
1964-02-01,25.3
1964-03-01,24.1
1964-04-01,12.9
1964-05-01,14.3
1964-06-01,13.5
1964-07-01,4.8
1964-08-01,13.8
1964-09-01,7.0
1964-10-01,9.2
1964-11-01,11.1
1964-12-01,22.1
1965-01-01,25.4
1965-02-01,20.8
1965-03-01,17.5
1965-04-01,10.2
1965-05-01,34.5
1965-06-01,23.3
1965-07-01,17.3
1965-08-01,13.3
1965-09-01,24.5
1965-10-01,29.1
1965-11-01,22.8
1965-12-01,24.7
1966-01-01,40.3
1966-02-01,35.3
1966-03-01,36.4
1966-04-01,69.0
1966-05-01,64.2
1966-06-01,67.7
1966-07-01,80.2
1966-08-01,72.6
1966-09-01,71.1
1966-10-01,81.2
1966-11-01,81.0
1966-12-01,99.8
1967-01-01,157.0
1967-02-01,132.6
1967-03-01,158.3
1967-04-01,98.4
1967-05-01,122.5
1967-06-01,95.4
1967-07-01,129.5
1967-08-01,151.8
1967-09-01,108.7
1967-10-01,125.0
1967-11-01,133.6
1967-12-01,179.0
1968-01-01,172.5
1968-02-01,158.5
1968-03-01,130.5
1968-04-01,115.0
1968-05-01,180.0
1968-06-01,156.2
1968-07-01,136.2
1968-08-01,154.8
1968-09-01,166.0
1968-10-01,152.5
1968-11-01,121.7
1968-12-01,155.5
1969-01-01,147.8
1969-02-01,170.5
1969-03-01,192.3
1969-04-01,151.1
1969-05-01,169.9
1969-06-01,150.1
1969-07-01,137.1
1969-08-01,138.8
1969-09-01,129.3
1969-10-01,135.4
