Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.29,-.18,-.11,-.19,-.11,-.23,-.20,-.09,-.16,-.23,-.20,-.22,-.18,***,***,-.14,-.17,-.19
1881,-.15,-.17,.04,.04,.02,-.20,-.06,-.02,-.14,-.21,-.22,-.11,-.10,-.11,-.18,.03,-.10,-.19
1882,.14,.15,.04,-.19,-.16,-.26,-.21,-.05,-.10,-.25,-.16,-.24,-.11,-.10,.06,-.10,-.17,-.17
1883,-.31,-.39,-.13,-.17,-.20,-.12,-.08,-.15,-.20,-.14,-.22,-.16,-.19,-.20,-.31,-.16,-.12,-.19
1884,-.15,-.08,-.37,-.42,-.36,-.40,-.34,-.26,-.27,-.24,-.30,-.29,-.29,-.28,-.13,-.38,-.34,-.27
1885,-.59,-.30,-.25,-.42,-.42,-.44,-.35,-.31,-.24,-.19,-.19,-.05,-.31,-.33,-.39,-.36,-.37,-.21
1886,-.42,-.45,-.38,-.28,-.26,-.39,-.22,-.33,-.25,-.28,-.31,-.26,-.32,-.30,-.31,-.30,-.31,-.28
1887,-.73,-.53,-.34,-.39,-.32,-.24,-.23,-.32,-.23,-.33,-.24,-.33,-.35,-.35,-.51,-.35,-.26,-.26
1888,-.38,-.36,-.41,-.22,-.22,-.18,-.10,-.16,-.10,.01,.00,-.07,-.18,-.20,-.36,-.28,-.15,-.03
1889,-.12,.18,.07,.07,-.03,-.14,-.10,-.20,-.22,-.23,-.33,-.30,-.11,-.09,.00,.04,-.15,-.26
1890,-.45,-.45,-.40,-.37,-.46,-.27,-.27,-.38,-.40,-.24,-.48,-.31,-.37,-.37,-.40,-.41,-.31,-.37
1891,-.42,-.47,-.18,-.28,-.18,-.20,-.20,-.16,-.14,-.21,-.34,-.04,-.23,-.26,-.40,-.21,-.19,-.23
1892,-.28,-.11,-.35,-.34,-.25,-.23,-.32,-.25,-.13,-.12,-.41,-.38,-.27,-.24,-.15,-.31,-.27,-.22
1893,-.79,-.54,-.23,-.30,-.36,-.28,-.16,-.26,-.20,-.16,-.17,-.35,-.32,-.32,-.57,-.29,-.23,-.18
1894,-.53,-.33,-.25,-.48,-.35,-.44,-.26,-.22,-.25,-.20,-.25,-.19,-.31,-.32,-.40,-.36,-.30,-.23
